Date,Site,Fraction,Acquisition Time,QC Status,"P Oshift 31/47
Oxygen DRC
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
10/15/2021,6,F,06/17/2023 02:37:02,Failed,4.626,40625.025,15.532,2.070,4.979,2.913,0.064,11.458,0.016,0.090
10/15/2021,6,F,06/17/2023 02:43:20,Failed,5.300,41932.451,15.842,2.136,5.052,2.915,0.091,11.751,0.018,0.092
10/15/2021,6,F,06/17/2023 03:32:14,Failed,2.379,39844.155,10.205,2.072,4.883,2.837,0.072,11.242,0.019,0.108
10/15/2021,6,F,06/17/2023 03:38:32,Failed,2.359,40020.173,9.939,2.038,4.869,2.864,0.095,10.949,0.018,0.115
10/15/2021,9,F,06/17/2023 03:56:52,Failed,2.982,36413.193,7.975,2.411,4.125,2.755,0.066,7.381,0.013,0.090
10/15/2021,9,F,06/17/2023 04:03:12,Failed,2.429,36289.541,7.901,2.427,4.029,2.751,0.048,7.333,0.015,0.092
10/15/2021,10,F,06/17/2023 04:09:13,Failed,3.953,34055.424,7.113,1.457,3.226,3.178,0.067,3.200,0.008,0.228
10/15/2021,10,F,06/17/2023 04:15:32,Failed,3.772,33381.662,8.526,1.734,3.817,2.997,0.074,3.777,0.008,0.233
10/15/2021,10,F,06/17/2023 04:21:32,Failed,3.506,34553.191,6.874,1.321,2.582,2.672,0.045,3.064,0.009,0.359
10/15/2021,10,F,06/17/2023 04:27:51,Failed,3.493,33934.565,7.034,1.331,2.624,2.648,0.046,3.171,0.009,0.369
10/15/2021,11,F,06/17/2023 05:10:50,Failed,2.896,32214.535,6.467,1.381,3.860,3.059,0.076,2.703,0.006,0.076
10/15/2021,11,F,06/17/2023 05:17:09,Failed,2.981,32411.007,6.457,1.388,3.906,3.031,0.066,2.735,0.008,0.060
6/21/2021,1,UF,05/15/2023 18:33:59,Passed,52.27573716,31520.2563,1.675795996,3.289832296,1.363533802,10.92966822,0.105693162,17.57099456,0.014483843,0.163006529
6/21/2021,6,UF,05/15/2023 18:39:45,Passed,31.43901176,49979.47914,0.855182464,4.873466893,1.422121396,11.44683498,0.122715272,12.44574943,0.022115906,0.147037123
6/21/2021,8,UF,05/15/2023 18:45:30,Passed,38.31534624,56078.16017,0.893056537,8.278153016,2.753237896,11.07861273,0.128457399,11.2267707,0.032270945,0.162391533
6/21/2021,9,UF,05/15/2023 18:51:15,Passed,45.17464808,47860.89366,0.641500704,4.649268471,1.716684255,7.991082317,0.096693384,6.277172244,0.021627081,0.167812833
6/21/2021,10,UF,05/15/2023 18:57:00,Passed,49.57596445,59987.40641,0.505353738,4.727889424,1.034473371,9.172424893,0.138278275,5.551614795,0.026171449,0.159131928
6/21/2021,11,UF,05/15/2023 19:02:45,Passed,49.37642433,58558.30561,0.534254592,4.674474444,1.177282331,9.129827418,0.124652609,5.04339323,0.02445536,0.164101274
7/6/2021,1,UF,05/15/2023 23:32:10,Passed,56.08866996,69916.86871,1.147265885,7.714183547,3.938742688,10.82049966,0.086415387,25.44492333,0.019654866,0.048172727
7/6/2021,6,UF,05/15/2023 23:37:55,Passed,29.10502018,63942.02563,0.829712123,3.185191132,2.6805463,11.40356631,0.150799307,13.10256508,0.033301572,0.228483834
7/6/2021,8,UF,05/16/2023 00:18:47,Passed,21.99290963,64542.17769,13.59567699,3.929879599,2.688013804,13.4973102,0.146304189,10.08598024,0.036993308,0.136291653
7/6/2021,9,UF,05/16/2023 00:54:18,Passed,23.98911113,57561.88975,0.901156391,2.952356151,1.664227135,10.19000559,0.139455209,6.414796979,0.025913214,0.388403721
7/6/2021,10,UF,05/16/2023 01:00:03,Passed,18.96716008,68361.02235,0.468402153,3.169342167,1.601204624,11.22955237,0.171800112,4.983118962,0.029951625,0.260427849
7/6/2021,11,UF,05/16/2023 01:17:25,Passed,13.22222505,67033.42468,1.961686738,3.728882014,1.33580347,10.91464228,0.172538508,5.342600402,0.02710925,0.28040337
7/19/2021,1,UF,05/16/2023 05:40:57,Passed,15.52164909,58615.53802,0.17418896,0.721895123,1.320689638,8.88733589,0.121439748,15.96962088,0.014509873,-0.010897983
7/19/2021,6,UF,05/16/2023 05:46:42,Passed,8.059181772,62674.74116,1.073960757,2.858475392,3.147981556,11.02654238,0.200869479,7.479190498,0.024768735,0.035029843
7/19/2021,8,UF,05/16/2023 05:52:26,Passed,14.8847409,58167.69772,2.290534831,2.773362369,2.219125835,11.16491357,0.183302009,7.50269646,0.026214843,0.052725595
7/19/2021,9,UF,05/16/2023 05:58:11,Passed,15.48572838,46547.8567,0.480671828,1.949416209,1.335599783,7.768786615,0.136027027,4.466701973,0.01616098,0.02771687
7/19/2021,10,UF,05/16/2023 06:03:55,Passed,10.65524212,61975.28148,1.182137522,2.098447906,2.113026904,9.454963187,0.197482593,4.045008719,0.01395713,0.078228959
7/19/2021,11,UF,05/16/2023 06:57:13,Passed,-0.101003944,101.2063619,-0.519901443,-0.448329587,-0.34206967,0.037498153,0.012578444,0.0020797,-0.001459359,-0.056100131
8/2/2021,1,UF,06/08/2023 16:03:07,Passed,11.01422492,57413.05548,0.651213381,1.837303104,2.933762188,8.848734901,0.097385696,10.50665564,0.013941476,0.031955533
8/2/2021,6,UF,06/08/2023 16:08:55,Passed,6.384603835,70691.31803,0.998792364,4.415477038,4.623640181,12.39680685,0.239146608,6.978384416,0.036858811,0.068899517
8/2/2021,8,UF,06/08/2023 16:37:54,Passed,18.50330552,65801.51352,2.277332615,4.296547236,1.892685117,13.81803672,0.254583381,5.763170496,0.026500712,0.085148959
8/2/2021,9,UF,06/08/2023 16:43:42,Passed,14.79225418,56660.12246,0.277363803,2.99634338,1.55468088,9.721559083,0.17067018,3.985068849,0.020549307,0.095355525
8/2/2021,10,UF,06/08/2023 17:19:31,Passed,21.01052613,80828.99095,0.415757602,2.680097726,1.939694899,11.36566092,0.225844386,4.114875393,0.016145485,0.130812572
8/2/2021,11,UF,06/08/2023 17:25:19,Passed,18.24295485,84340.76912,14.50522075,2.477739482,1.567952612,11.57182398,0.189863504,3.915479393,0.012666712,0.223005734
8/16/2021,1,UF,06/08/2023 21:46:46,Passed,49.95267664,82385.31655,0.345911742,1.502711073,1.625581853,13.56157566,0.139960376,40.10387302,0.017035811,0.027104356
8/16/2021,6,UF,06/08/2023 22:28:23,Passed,26.51571377,75134.91984,-0.017191939,3.39182245,4.331936254,12.18524145,0.217214907,19.98145253,0.030997567,0.226445993
8/16/2021,8,UF,06/08/2023 22:34:11,Passed,36.34778047,71782.54482,0.49338685,3.765338548,2.580406936,12.08750693,0.167550941,15.92229097,0.024794747,0.101165397
8/16/2021,9,UF,06/08/2023 22:39:59,Passed,36.22341502,63519.75024,-0.172445199,2.782137937,1.205649936,9.576340401,0.138896973,10.41337887,0.013785912,0.056156678
