,Group.1,Group.2,Group.3,P.Oshift.31.47.Oxygen.DRC..ppb.,Ca.KED.43.43.Helium.KED_Low..ppb.,Fe..54..NH3.54.54.Ammonia.DRC..ppb.,Cu..65..NH3.65.65.Ammonia.DRC..ppb.,Zn.NH3.66.66.Ammonia.DRC..ppb.,As.Oshift.75.91.Oxygen.DRC..ppb.,Se..80..Oshift.80.96.Oxygen.DRC..ppb.,Mo..95..NH3.95.95.Ammonia.DRC..ppb.,Cd..111..NH3.111.111.Ammonia.DRC..ppb.,Pb.NH3.208.208.Ammonia.DRC..ppb.,Group.1,Group.2,Group.3,P.Oshift.31.47.Oxygen.DRC..ppb.,Ca.KED.43.43.Helium.KED_Low..ppb.,Fe..54..NH3.54.54.Ammonia.DRC..ppb.,Cu..65..NH3.65.65.Ammonia.DRC..ppb.,Zn.NH3.66.66.Ammonia.DRC..ppb.,As.Oshift.75.91.Oxygen.DRC..ppb.,Se..80..Oshift.80.96.Oxygen.DRC..ppb.,Mo..95..NH3.95.95.Ammonia.DRC..ppb.,Cd..111..NH3.111.111.Ammonia.DRC..ppb.,Pb.NH3.208.208.Ammonia.DRC..ppb.,Group.1,Group.2,Group.3,P.Oshift.31.47.Oxygen.DRC..ppb.,Ca.KED.43.43.Helium.KED_Low..ppb.,Fe..54..NH3.54.54.Ammonia.DRC..ppb.,Cu..65..NH3.65.65.Ammonia.DRC..ppb.,Zn.NH3.66.66.Ammonia.DRC..ppb.,As.Oshift.75.91.Oxygen.DRC..ppb.,Se..80..Oshift.80.96.Oxygen.DRC..ppb.,Mo..95..NH3.95.95.Ammonia.DRC..ppb.,Cd..111..NH3.111.111.Ammonia.DRC..ppb.,Pb.NH3.208.208.Ammonia.DRC..ppb.
38,6/21/2021,10,W,54.83578638,71500.29627,127.5913771,16.85714625,7.711198561,10.23554403,0.176161882,5.623833596,0.077890528,0.839074385,6/21/2021,10,F,54.63543796,62509.88728,14.4623344,7.796260275,2.869191236,10.856141,0.190325112,5.724900642,0.032657122,0.28014247,6/21/2021,10,UF,49.57596445,59987.40641,0.505353738,4.727889424,1.034473371,9.172424893,0.138278275,5.551614795,0.026171449,0.159131928
40,7/6/2021,10,W,38.64989404,61260.24576,100.1706202,6.53228589,3.934266901,11.53886998,0.241518162,5.224631131,0.039630996,0.280771718,7/6/2021,10,F,41.2083206,72368.25596,14.01279694,8.139777923,3.396012108,11.91860001,0.196537562,6.723644102,0.037494976,0.741279001,7/6/2021,10,UF,18.96716008,68361.02235,0.468402153,3.169342167,1.601204624,11.22955237,0.171800112,4.983118962,0.029951625,0.260427849
39,7/19/2021,10,W,25.26963246,63268.9753,100.1013495,6.775508528,4.647047085,9.780257969,0.257409494,4.187726015,0.029317246,0.414494314,7/19/2021,10,F,10.56676902,63094.0459,7.242987774,4.970829408,3.554899877,9.782501405,0.198132559,4.368100075,0.020142456,0.282243419,7/19/2021,10,UF,10.65524212,61975.28148,1.182137522,2.098447906,2.113026904,9.454963187,0.197482593,4.045008719,0.01395713,0.078228959
42,8/2/2021,10,W,35.07815178,76329.77925,205.9308182,10.69956138,10.80841013,12.48456664,0.297395542,4.099539401,0.069016283,1.36011675,8/2/2021,10,F,19.47182732,84077.88801,8.803591255,5.034224761,4.889954687,12.07509511,0.22440297,4.413733828,0.019689988,0.292200698,8/2/2021,10,UF,21.01052613,80828.99095,0.415757602,2.680097726,1.939694899,11.36566092,0.225844386,4.114875393,0.016145485,0.130812572
41,8/16/2021,10,W,19.87421421,77498.88143,119.7540042,7.277727933,3.997330104,11.00226592,0.332418583,5.290536429,0.039595783,0.768383842,8/16/2021,10,F,34.94142025,82368.45296,8.04362879,4.684988483,3.086427645,11.13913047,0.255103737,5.505963062,0.024020959,0.217313412,8/16/2021,10,UF,40.16955685,79151.42972,0.989594709,2.523033816,1.992987403,10.09626239,0.182449708,5.108686349,0.016622257,0.111473762
43,8/30/2021,10,W,41.14922576,83398.25403,118.9763222,7.697549692,5.717798595,10.12221833,0.239604047,7.330910832,0.045463407,0.840131082,8/30/2021,10,F,11.42021169,71515.89225,7.819625194,4.269336327,4.530541777,9.322003114,0.18905586,6.684394538,0.021931059,0.212990325,8/30/2021,10,UF,36.23341796,70228.72118,1.677747159,2.832305957,2.714676877,8.926495254,0.209992463,6.518264984,0.022691119,0.163615089
44,9/13/2021,10,W,19.93146689,65359.4778,103.5043575,6.305551917,3.910367449,9.327074202,0.262042321,4.996958565,0.03902217,0.660351237,9/13/2021,10,F,6.725017165,67910.19614,7.636057572,3.816777299,3.636720344,8.645061193,0.167902489,5.175559142,0.019602128,0.239998827,9/13/2021,10,UF,3.64,33636.098,-0.105,1.221,0.858,4.209,0.072,2.46,0.01,0.057
36,10/1/2021,10,W,17.175,34674.468,74.787,3.164,3.353,3.789,0.016,2.928,0.02,0.507,10/1/2021,10,F,3.731,35354.584,5.449,1.687,7.675,3.695,0.092,3.054,0.008,,10/1/2021,10,UF,4.56,35826.371,1.684,1.076,5.054,3.664,0.074,3.038,0.007,0.064
37,10/15/2021,10,W,14.24325,32987.07525,126.9665,4.4045,5.1195,3.38975,0.03775,3.142,0.035,0.831,10/15/2021,10,F,3.681,33981.2105,7.38675,1.46075,3.06225,2.87375,0.058,3.303,0.0085,0.29725,10/15/2021,10,UF,4.202,33403.7645,0.278,0.8585,2.137,2.8745,0.0655,3.105,0.008,0.0305
47,6/21/2021,11,W,58.737805,62887.47531,120.6675003,10.68202712,5.914260051,10.56506158,0.066808422,5.358610464,0.045256025,0.898875317,6/21/2021,11,F,54.48708943,62146.99745,14.26511442,8.508007227,4.076511982,10.49623137,0.170843901,5.524802792,0.034718472,0.288947514,6/21/2021,11,UF,49.37642433,58558.30561,0.534254592,4.674474444,1.177282331,9.129827418,0.124652609,5.04339323,0.02445536,0.164101274
49,7/6/2021,11,W,32.41029577,62162.16546,28.02573382,5.195135144,1.384233476,11.69948027,0.274292225,5.091080274,0.035077296,-0.001168512,7/6/2021,11,F,33.780688,67915.1408,7.970441159,6.447495808,2.148540359,11.5185771,0.177286158,5.603837889,0.025938744,0.42342247,7/6/2021,11,UF,13.22222505,67033.42468,1.961686738,3.728882014,1.33580347,10.91464228,0.172538508,5.342600402,0.02710925,0.28040337
48,7/19/2021,11,W,15.89475766,64551.12726,25.03788023,4.531669296,1.247038813,9.910478012,0.256455167,3.931188459,0.018681798,0.182256618,7/19/2021,11,F,4.872761433,64002.80776,4.997609304,4.924465245,2.775087059,9.589522061,0.18543888,3.972838866,0.011889277,0.15940926,7/19/2021,11,UF,-0.101003944,101.2063619,-0.519901443,-0.448329587,-0.34206967,0.037498153,0.012578444,0.0020797,-0.001459359,-0.056100131
51,8/2/2021,11,W,41.95645627,74503.44154,323.2873657,14.1517102,20.96481548,12.87696452,0.279947009,3.994123061,0.116723284,2.00696282,8/2/2021,11,F,16.92756705,79998.3175,9.54407623,5.649649591,3.046052347,11.92304495,0.212385758,4.12802087,0.014013491,0.908141528,8/2/2021,11,UF,18.24295485,84340.76912,14.50522075,2.477739482,1.567952612,11.57182398,0.189863504,3.915479393,0.012666712,0.223005734
50,8/16/2021,11,W,10.6798358,77508.33882,53.35424136,5.982762108,2.270543097,10.8712223,0.29214293,4.567571211,0.020115263,0.477174507,8/16/2021,11,F,31.77885311,77730.3847,8.2904223,4.593417268,3.216448613,10.85356521,0.235022268,4.701453871,0.009402714,0.247218643,8/16/2021,11,UF,36.03873297,70772.656,-0.454362963,2.031909183,1.760061281,9.738721763,0.171138475,4.126818531,0.006267292,0.118362847
52,8/30/2021,11,W,43.16239523,73066.23671,138.6826135,8.307804617,6.501947767,10.24276774,0.249750461,7.003040985,0.046478164,2.807811546,8/30/2021,11,F,7.576115212,68755.30423,6.677332854,4.274689787,2.859587681,9.437239705,0.233234664,6.458959091,0.018956366,0.194498521,8/30/2021,11,UF,34.68797588,66317.68038,-0.214989538,2.871992928,1.679067974,9.189722245,0.206415038,6.184197925,0.020162924,0.126473404
53,9/13/2021,11,W,20.88045141,63901.50878,183.340854,8.310045117,8.111714825,8.706937303,0.254006092,4.501396634,0.057102594,0.918614664,9/13/2021,11,F,4.753559437,67658.386,8.774118904,4.563000747,7.677986618,8.438926548,0.16824027,4.868387181,0.022328184,0.223605617,9/13/2021,11,UF,3.575,33979.686,0.82,1.444,1.156,4.165,0.074,2.298,0.008,0.066
45,10/1/2021,11,W,15.6,33590.812,87.71,4.054,4.221,3.949,0.015,2.761,0.024,1.043,10/1/2021,11,F,2.791,35337.431,6.868,1.676,7.273,3.847,0.078,2.918,0.009,0.105,10/1/2021,11,UF,3.845,35413.076,1.613,1.001,5.21,3.739,0.086,2.819,0.007,0.055
46,10/15/2021,11,W,14.6935,33039.292,170.5155,5.4555,8.4845,3.548,0.0315,2.8065,0.039,1.0235,10/15/2021,11,F,2.9385,32312.771,6.462,1.3845,3.883,3.045,0.071,2.719,0.007,0.068,10/15/2021,11,UF,3.417,32678.0205,1.4495,0.8595,3.075,3.0115,0.06,2.632,0.006,0.0345
