,Group.1,Group.2,Group.3,...1,SAMPLING_DATE,SITE,SITE_DISTANCE,FIELD.REP,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,As,Car,Cd,Cu,Fer.1,Mo,P,Pb,Se,Znr,As.1,Car.1,Cd.1,Cu.1,Fer.1.1,Mo.1,P.1,Pb.1,Se.1,Znr.1,SS.As,SS.Ca,SS.Cd,SS.Cu,SS.Fe,SS.Mo,SS.P,SS.Pb,SS.Se,SS.Zn,CL.As,CL.Ca,CL.Cd,CL.Cu,CL.Fe,CL.Mo,CL.P,CL.Pb,CL.Se,CL.Zn,TD.As,TD.Ca,TD.Cd,TD.Cu,TD.Fe,TD.Mo,TD.P,TD.Pb,TD.Se,TD.Zn
33,10/13/2021,GR,EPIL,205.5,10/13/2021,NA,64.82,3,25.93854682,138.1613565,46.87390465,85.57860279,0.003413037,191.2967014,0.001432763,0.197805349,5.291977931,0.002318463,1.0030741,0.025119029,0.00184889,9.539675872,0.113736113,5039.913382,0.040109481,5.212561473,134.1348755,0.062233078,25.49668147,0.643550676,0.047593711,248.4861042,3.905125,39439.19925,0.01675,4.05975,25.7635,8.7505,11.37025,0.201125,0.08775,5.0205,3.721125,39439.19925,0.01075,2.36775,8.6655,8.6865,3.64625,0.201125,0.08775,5.0205,3.605125,39150.78925,0.01075,1.30375,1.0335,8.4965,3.64625,0.048125,0.07775,3.7265
55,10/13/2021,GR,EPIP,307.5,10/13/2021,NA,64.82,3,12.02504165,-2.414946379,6.169542031,22.39845984,0.008220089,102.7013697,0.000988351,0.324428872,8.859062598,0.002064962,1.302669929,0.044913138,0.003505739,17.24353921,0.073863791,1126.963067,0.008383009,3.756994737,106.9001712,0.023037974,14.86978037,0.578404546,0.047720533,241.6170736,3.905125,39439.19925,0.01675,4.05975,25.7635,8.7505,11.37025,0.201125,0.08775,5.0205,3.721125,39439.19925,0.01075,2.36775,8.6655,8.6865,3.64625,0.201125,0.08775,5.0205,3.605125,39150.78925,0.01075,1.30375,1.0335,8.4965,3.64625,0.048125,0.07775,3.7265
80,10/13/2021,GR,FILA,416.5,10/13/2021,NA,64.82,3,19.48623688,79.2640373,NA,104.4636753,0.017690802,77.69507094,0.000777212,0.163117453,5.477219782,0.001480068,0.820772156,0.025326981,0.001784538,0.230792295,0.345096024,1490.91421,0.014919538,3.147780546,106.2741294,0.0284309,15.68597575,0.500295122,0.033796216,4.472361752,3.905125,39439.19925,0.01675,4.05975,25.7635,8.7505,11.37025,0.201125,0.08775,5.0205,3.721125,39439.19925,0.01075,2.36775,8.6655,8.6865,3.64625,0.201125,0.08775,5.0205,3.605125,39150.78925,0.01075,1.30375,1.0335,8.4965,3.64625,0.048125,0.07775,3.7265
25,9/9/2021,GC,EPIL,160.5,9/9/2021,NA,89.22,10.5,9.928259048,36.20987323,27.21675146,33.28428124,0.004082952,129.6114553,0.001945879,0.314898393,11.22117872,0.002799318,1.092185582,0.049215306,0.004435742,22.57531729,0.054120013,1445.454353,0.022982461,3.551529287,123.7976277,0.029046303,12.23627807,0.563096996,0.042368519,212.3978922,9.88032885,70502.74413,0.034248047,10.27305521,156.5055151,11.60656063,54.76861324,0.948379131,0.274478884,10.86204892,8.703521242,60839.91933,0.024422943,5.377116528,8.144214453,10.43691688,31.34709611,0.184028184,0.168972542,6.41316362,8.296948729,59504.3127,0.021602568,3.341088091,,9.686871732,31.34709611,0.128019242,0.14691983,6.41316362
53,9/9/2021,GC,EPIP,295.5,9/9/2021,NA,89.22,10.555,5.067762233,21.67819206,7.203364442,12.43343942,0.013986034,77.88806158,0.001770564,0.36058366,13.40263899,0.002082346,1.072390924,0.053864248,0.002805794,14.80335953,0.074654772,340.6865988,0.008257879,1.710940712,62.92761104,0.009566271,4.970613819,0.253220281,0.011664596,60.63530999,9.88032885,70502.74413,0.034248047,10.27305521,156.5055151,11.60656063,54.76861324,0.948379131,0.274478884,10.86204892,8.703521242,60839.91933,0.024422943,5.377116528,8.144214453,10.43691688,31.34709611,0.184028184,0.168972542,6.41316362,8.296948729,59504.3127,0.021602568,3.341088091,,9.686871732,31.34709611,0.128019242,0.14691983,6.41316362
76,9/9/2021,GC,FILA,395,9/9/2021,NA,89.22,10.57619048,69.43033989,637.4544967,NA,203.1218304,0.011991406,41.88307019,0.000731007,0.130738208,7.189353201,0.001041987,0.789408762,0.017102663,0.001863792,0.21281588,0.83768337,2286.581012,0.048431458,7.824442231,479.2748884,0.067071788,50.43277692,1.146415678,0.123071934,13.95802247,9.88032885,70502.74413,0.034248047,10.27305521,156.5055151,11.60656063,54.76861324,0.948379131,0.274478884,10.86204892,8.703521242,60839.91933,0.024422943,5.377116528,8.144214453,10.43691688,31.34709611,0.184028184,0.168972542,6.41316362,8.296948729,59504.3127,0.021602568,3.341088091,,9.686871732,31.34709611,0.128019242,0.14691983,6.41316362
5,8/17/2021,BG,EPIL,147.5,8/17/2021,NA,144.32,3.833333333,17.04512143,84.98407353,25.34345243,48.15390353,0.009121825,92.69147608,0.002165732,0.268288545,10.54700362,0.001420517,0.889603457,0.041581309,0.004213506,6.761264193,0.167547101,1518.230987,0.038703969,4.866973089,188.3074694,0.024143504,15.5476168,0.747469655,0.073343617,126.5156706,11.13913047,82368.45296,0.039595783,7.277727933,119.7540042,5.505963062,40.16955685,0.768383842,0.332418583,3.997330104,11.13913047,82368.45296,0.024020959,4.684988483,8.04362879,5.505963062,40.16955685,0.217313412,0.255103737,3.086427645,10.09626239,79151.42972,0.016622257,2.523033816,0.989594709,5.108686349,40.16955685,0.111473762,0.182449708,1.992987403
43,8/17/2021,BG,EPIP,282,8/17/2021,NA,144.32,4,17.19533354,112.2540436,20.77233037,41.72248203,0.014115959,45.89474229,0.00189943,0.301775191,11.55479494,0.001281244,0.759817983,0.043841789,0.003171198,5.955549397,0.285773654,844.7965275,0.037959917,5.982289244,225.8914253,0.026043425,14.34641482,0.870094382,0.059147374,105.5824491,11.13913047,82368.45296,0.039595783,7.277727933,119.7540042,5.505963062,40.16955685,0.768383842,0.332418583,3.997330104,11.13913047,82368.45296,0.024020959,4.684988483,8.04362879,5.505963062,40.16955685,0.217313412,0.255103737,3.086427645,10.09626239,79151.42972,0.016622257,2.523033816,0.989594709,5.108686349,40.16955685,0.111473762,0.182449708,1.992987403
63,8/17/2021,BG,FILA,381,8/17/2021,NA,144.32,4,55.53975569,154.7488575,NA,154.9922466,0.0101235,71.70438573,0.001226462,0.168233403,7.432298605,0.001130807,1.00172948,0.022982023,0.002429162,0.325827425,0.542367786,3847.928236,0.068996611,9.321307236,383.9153357,0.060182649,53.93597946,1.24529849,0.130561399,17.80950464,11.13913047,82368.45296,0.039595783,7.277727933,119.7540042,5.505963062,40.16955685,0.768383842,0.332418583,3.997330104,11.13913047,82368.45296,0.024020959,4.684988483,8.04362879,5.505963062,40.16955685,0.217313412,0.255103737,3.086427645,10.09626239,79151.42972,0.016622257,2.523033816,0.989594709,5.108686349,40.16955685,0.111473762,0.182449708,1.992987403
8,7/7/2021,BN,EPIL,51.2,7/7/2021,NA,167.82,3,7.839076131,50.35201203,10.70526147,16.61899345,0.039080153,58.11292348,0.00356022,0.408181438,15.88783576,0.000456905,1.172500568,0.066972334,0.003431676,16.14740201,0.329890458,480.3433056,0.029421654,3.379183922,131.5456259,0.004580475,9.545855162,0.564397376,0.034403253,161.9249113,11.69948027,67915.1408,0.036247802,6.447495808,28.02573382,5.603837889,33.780688,0.42342247,0.274292225,2.148540359,11.5185771,67915.1408,0.02710925,6.447495808,7.970441159,5.603837889,33.780688,0.42342247,0.177286158,2.148540359,10.91464228,67033.42468,0.02710925,3.728882014,1.961686738,5.342600402,13.22222505,0.28040337,0.172538508,1.33580347
