,Group.1,Group.2,SS P,SS Ca,SS Fe,SS Cu,SS Zn,SS As,SS Se,SS Mo,SS Cd,SS Pb,CL P,CL Ca,CL Fe,CL Cu,CL Zn,CL As,CL Se,CL Mo,CL Cd,CL Pb,TD P,TD Ca,TD Fe,TD Cu,TD Zn,TD As,TD Se,TD Mo,TD Cd,TD Pb
33,8/30/2021,9,23.42151713,9662.8248,148.3613006,4.895938682,4.448885298,1.176807608,0.105506342,1.16964375,0.009825104,0.764350947,0,1335.60663,8.144214453,2.036028437,0,0.406572513,0.022052712,0.750045148,0.002820375,0.056008942,31.34709611,59504.3127,0,3.341088091,6.41316362,8.296948729,0.14691983,9.686871732,0.021602568,0.128019242
34,9/13/2021,9,7.848863724,0,34.90846084,1.27443271,0,0.527379587,0.086840717,0.09080693,0.014008299,0.101329706,2.098141576,32992.03064,10.84142623,3.096323322,9.68249874,3.596094932,0.120685148,3.838667437,0.010677041,0.186046585,2.69,29543.549,0.196,1.479,0.738,3.875,0.063,3.758,0.007,0.051
35,10/1/2021,9,5.705,0,20.815,0.584,0,0.135,0,0,0.011,0,0,0,5.32,0.824,0.948,0.012,0,0,0.001,0.496,5.486,34058.235,0.568,1.394,6.011,3.158,0.074,4.989,0.01,0.048
36,10/15/2021,9,6.4415,0,37.491,0.721,0,0.211,0,0,0.0055,0.187,0,609.046,7.436,1.3335,1.2225,0.139,5.00E-04,0.319,0.0035,0.061,6.4455,35742.321,0.502,1.0855,2.8545,2.614,0.0565,7.038,0.0105,0.03
37,6/21/2021,10,0.20034842,8990.40899,113.1290427,9.060885975,4.842007325,0,0,0,0.045233406,0.558931915,5.05947351,2522.48087,13.95698066,3.068370851,1.834717865,1.683716107,0.052046837,0.173285847,0.006485673,0.121010542,49.57596445,59987.40641,0.505353738,4.727889424,1.034473371,9.172424893,0.138278275,5.551614795,0.026171449,0.159131928
38,7/6/2021,10,0,0,86.15782326,0,0.538254793,0,0.0449806,0,0.00213602,0,22.24116052,4007.23361,13.54439479,4.970435756,1.794807484,0.68904764,0.02473745,1.74052514,0.007543351,0.480851152,18.96716008,68361.02235,0.468402153,3.169342167,1.601204624,11.22955237,0.171800112,4.983118962,0.029951625,0.260427849
39,7/19/2021,10,14.70286344,174.9294,92.85836173,1.80467912,1.092147208,0,0.059276935,0,0.00917479,0.132250895,0,1118.76442,6.060850252,2.872381502,1.441872973,0.327538218,0.000649966,0.323091356,0.006185326,0.20401446,10.65524212,61975.28148,1.182137522,2.098447906,2.113026904,9.454963187,0.197482593,4.045008719,0.01395713,0.078228959
40,8/2/2021,10,15.60632446,0,197.1272269,5.665336619,5.918455443,0.40947153,0.072992572,0,0.049326295,1.067916052,0,3248.89706,8.387833653,2.354127035,2.950259788,0.70943419,0,0.298858435,0.003544503,0.161388126,21.01052613,80828.99095,0.415757602,2.680097726,1.939694899,11.36566092,0.225844386,4.114875393,0.016145485,0.130812572
41,8/16/2021,10,0,0,111.7103754,2.59273945,0.910902459,0,0.077314846,0,0.015574824,0.55107043,0,3217.02324,7.054034081,2.161954667,1.093440242,1.04286808,0.072654029,0.397276713,0.007398702,0.10583965,40.16955685,79151.42972,0.989594709,2.523033816,1.992987403,10.09626239,0.182449708,5.108686349,0.016622257,0.111473762
42,8/30/2021,10,29.72901407,11882.36178,111.156697,3.428213365,1.187256818,0.800215216,0.050548187,0.646516294,0.023532348,0.627140757,0,1287.17107,6.141878035,1.43703037,1.8158649,0.39550786,0,0.166129554,0,0.049375236,36.23341796,70228.72118,1.677747159,2.832305957,2.714676877,8.926495254,0.209992463,6.518264984,0.022691119,0.163615089
43,9/13/2021,10,13.20644973,0,95.86829993,2.488774618,0.273647105,0.682013009,0.094139832,0,0.019420042,0.42035241,3.085017165,34274.09814,7.636057572,2.595777299,2.778720344,4.436061193,0.095902489,2.715559142,0.009602128,0.182998827,3.64,33636.098,0,1.221,0.858,4.209,0.072,2.46,0.01,0.057
44,10/1/2021,10,13.444,0,69.338,1.477,0,0.094,0,0,0.012,NA,0,0,3.765,0.611,2.621,0.031,0.018,0.016,0.001,,4.56,35826.371,1.684,1.076,5.054,3.664,0.074,3.038,0.007,0.064
