"","ndate","SITE_DISTANCE","OM.AREA.g.m2","Al"
"340",18842,144.32,3.835822431,5.375047838
"341",18842,144.32,16.56012407,5.214224507
"342",18842,144.32,7.349936418,4.305319407
"343",18842,167.82,0.708799594,16.9980584041537
"344",18842,167.82,79.8764774,4.78770482
"345",18856,0,15.33371077,4.803809524
"346",18856,89.22,23.8700292,2.824139143
"347",18856,89.22,100.3361917,2.230127314
"348",18856,89.22,75.2285633,2.728091913
"349",18856,89.22,98.86958211,2.859653867
"350",18856,89.22,107.6248161,5.309022258
"351",18856,89.22,108.811184,4.803884235
"352",18856,144.32,64.54347564,2.313927452
"353",18856,144.32,9.222266324,7.356861273
"354",18856,144.32,109.2928766,7.196936543
"355",18856,144.32,49.54304655,5.602864788
"356",18856,144.32,103.7676628,4.413015043
"357",18856,144.32,24.26621557,5.416209628
"358",18856,144.32,28.14274634,5.584137931
"359",18879,89.22,40.8181783,14.1652033996237
"360",18879,89.22,10.6019777,4.216813499
"361",18879,89.22,80.13191726,3.636363636
"362",18879,89.22,130.6292705,2.764403121
"363",18879,89.22,63.15682085,4.87785812
"364",18879,89.22,64.13313485,4.039305302
"365",18879,89.22,12.03408959,18.0822215752366
"366",18879,89.22,212.6810384,-9.22236858526402
"367",18879,89.22,99.27333899,6.2104639187953
"368",18879,89.22,63.80790698,11.0366977172227
"369",18879,89.22,24.36987933,16.4035332864066
"370",18879,89.22,25.7416153,16.2168636724832
"371",18879,89.22,104.3553902,5.51888437429336
"372",18879,89.22,103.4199357,5.64618360255365
"373",18879,89.22,72.31873961,9.87852014081298
"374",18879,89.22,13.6307145,17.8649484541343
"375",18879,89.22,41.29186204,14.1007432099069
"376",18879,89.22,112.7875099,4.37141827048132
"377",18879,89.22,106.5276181,5.22328161085004
"378",18879,89.22,71.83526096,9.94431324889609
"379",18879,89.22,4.490938535,19.1087143741406
"380",18892,64.82,9.587124273,1.635157895
"381",18892,64.82,0.588523661,2.422750424
"382",18892,64.82,2.335766746,3.181818182
"383",18892,144.32,8.69186686,3.61232563
"384",18892,167.82,4.58192352,4.437576624
"385",18892,167.82,5.544579244,5.115557089
"386",18892,167.82,5.749970587,3.888341312
"387",18892,167.82,0.754780355,4.826467482
"388",18892,167.82,20.65065452,4.777482823
"389",18913,64.82,18.17850514,4.209748892
"390",18913,64.82,20.79396861,2.495895619
"391",18913,89.22,31.0008533,2.943301226
"392",18913,89.22,5.394507654,4.730068527
"393",18913,89.22,6.39723884,1.801136364
"394",18913,167.82,2.951472808,3.273251139
"395",18913,167.82,20.1395211,3.253301321
"396",18913,167.82,3.53887016,9.07653924006385
"397",18800,167.82,41.6134571981375,6.509717817
"398",18800,167.82,42.3686339497449,4.526188835
"399",18815,144.32,29.9787480196199,24.98842593
"400",18842,89.22,27.8118624374913,3.495138018
"401",18842,89.22,28.1402310139266,2.632653061
"402",18842,64.82,23.8679291465612,3.4852268
"403",18842,64.82,24.1644322048049,2.706439042
"404",18913,167.82,26.0784073044989,31.53703704
"405",18913,167.82,35.9624002310683,5.575980392
"406",18913,89.22,7.90430252743235,45.87108014
"407",18913,89.22,24.4780594149982,2.338851351
"408",18913,89.22,25.321174268687,0.124346278
"409",18913,64.82,21.1981836980686,0.584742578
