,SAMPLING_DATE,SITE,SAMPLE_DESCRIPTOR,FIELD.REP,Al,Al_r,As,B,B_r,Ba,Be,Ca_r,Cd,Co,Cr,Cu,Fe,Fe_r238,Fe_r234,K_r,Li_r,Mg_r,Mn,Mn_r,Mo,Na_r,Ni,P,Pb,S181,S_r,S180,Sb,Se,Si,Si_r251,Si_r212,Sn,Sr_r,Ti,Tl,Zn,Zn_r
255,22-Sep-21,DL,EPIL,3,12.87307488,15.41157727,0.022304833,7.275624004,8.380244291,8.433351036,-0.116303771,120.3398832,0.00212427,0.012214551,0.011683484,0.439989379,10.06372809,11.92246415,12.00743494,9.85661179,0.016463091,4.662772172,2.033722783,2.356877323,0.00212427,19.16622411,0.007169411,0.6362188,0.058948486,2.342804036,2.772172066,2.103292618,-0.000531067,0.002389804,1.32023367,1.504779607,1.531864047,0.006903877,0.281200212,0.535315985,-0.004514073,6.882634095,8.36165693
58,7-Jul-21,BG,EPIP,4,18.8731444,20.35762483,0.037112011,9.092442645,9.989878543,10.76585695,0.00109143,26.28205128,0.002971323,0.012037787,0.019321862,0.437584345,15.08434548,16.65654521,17.46288799,12.11538462,0.01641363,6.379892038,2.783063428,3.118758435,-0.000552969,24.83805668,0.015465587,1.304318489,0.073144399,1.636639676,1.785425101,2.194669366,0.001418016,-0.004574899,1.872807018,2.083670715,2.108636977,-0.011754386,0.231950067,0.581646424,-0.01717274,9.841430499,11.23144399
56,7-Jul-21,BG,EPIP,2,15.09675583,16.97211155,0.034433694,6.138303927,6.838360842,7.578258395,0.001006545,24.07797382,0.002931133,0.010039841,0.017293682,0.430278884,14.0722823,15.3756403,16.24928856,9.137734775,0.014479226,5.964712578,1.426294821,1.541263517,0.000584234,17.40751281,0.013756403,1.108992601,0.066789983,1.454467843,1.636027319,1.966420034,0.00156716,-0.00376494,1.668753557,1.841491178,1.893284007,-0.010204895,0.179482072,0.550085373,-0.010378486,7.085941946,7.914058054
254,22-Sep-21,DL,EPIL,2,10.9137538,13.44414894,0.030015198,5.195668693,5.94224924,6.008738602,-0.103153495,106.8389058,0.002279635,0.009878419,0.010638298,0.42800152,9.297112462,11.41337386,11.51405775,7.448708207,0.01462766,4.141337386,2.701367781,3.227583587,0.002089666,13.73100304,0.006458967,0.762537994,0.056990881,2.539893617,3.041413374,2.471504559,-0.00018997,0.003229483,1.090425532,1.249240122,1.261018237,0.006079027,0.223594225,0.46656535,-0.005129179,4.954407295,5.92325228
98,7-Jul-21,GR,EPIL,4,13.1869773,14.45041816,0.047789725,7.625448029,8.545400239,8.853046595,0.000636798,105.2867384,0.004112903,0.008790323,0.014865591,0.426523297,10.31959379,11.99820789,11.98626045,10.69892473,0.010824373,4.898446834,3.175029869,3.691756272,0.000626643,21.80704898,0.011827957,1.379928315,0.057706093,2.273297491,2.500298686,4.196535245,0.001614397,-0.002474612,1.823476703,2.042413381,2.090800478,-0.013611111,0.316905615,0.451314217,-0.018124253,8.163082437,9.426523297
220,17-Aug-21,WS,EPIL,5,30.97674419,35.54651163,0.047674419,34.5,39.96511628,42.03488372,-0.098837209,102.8488372,0.003488372,0.054651163,0.03372093,0.425581395,10.3244186,11.39069767,11.36511628,36.01162791,0.024418605,7.01627907,24.81395349,30.52325581,0.03372093,86.22093023,0.039534884,2.010465116,0.046511628,4.812790698,5.593023256,4.86744186,0,0.01627907,3.513953488,3.994186047,4.002325581,0,0.791860465,0.358139535,-0.036046512,32.51162791,39.38372093
103,7-Jul-21,BG,EPIL,5,31.79166667,33.875,0.036111111,30.81944444,34.30555556,39.61111111,0.001245833,60.33333333,0.003856944,0.020041667,0.036111111,0.422916667,15.06944444,16.375,16.33333333,35.83333333,0.018777778,7.822222222,3.191666667,3.463888889,-0.000465278,87.125,0.026152778,1.269722222,0.073736111,2.15,2.295833333,3.372222222,0.009419444,-0.021472222,6.094444444,6.955555556,7.069444444,-0.043347222,0.658333333,0.615138889,-0.020222222,34.69444444,38.98611111
167,3-Aug-21,WS,EPIL,5,19.4984326,24.09090909,0.012539185,26.92789969,31.30094044,34.51410658,-0.084639498,88.9184953,0.001567398,0.045454545,0.021943574,0.420062696,10.66144201,11.3369906,11.29467085,31.75548589,0.02507837,7.412225705,8.448275862,9.277429467,0.004702194,72.93103448,0.017241379,2.032915361,0.051724138,4.410658307,5.387147335,4.656739812,0.001567398,0.012539185,2.559561129,2.960815047,2.94984326,0,0.612852665,0.437304075,-0.023510972,28.52664577,31.95924765
141,3-Aug-21,GC,EPIL,2,9.561068702,11.74427481,0.021374046,7.641221374,9.103053435,9.339694656,-0.069083969,71.52671756,0.003053435,0.015267176,0.011450382,0.419847328,7.958015267,9.083969466,9.099236641,10.27862595,0.011450382,3.245038168,5.477099237,6.484732824,0.001908397,20.99236641,0.00610687,1.170610687,0.05610687,2.458015267,2.995419847,2.634732824,-0.000381679,0.00610687,1.302671756,1.494274809,1.504961832,0.003435115,0.254198473,0.303816794,-0.010305344,7.900763359,9.190839695
96,7-Jul-21,GR,EPIL,2,21.73170732,23.30081301,0.07804878,22.21138211,24.99186992,26.6504065,0.000677236,120.2439024,0.005519512,0.016707317,0.023869919,0.418373984,10.58536585,11.64227642,11.60162602,26.70731707,0.011585366,5.531707317,7.703252033,8.74796748,0.001682114,61.67479675,0.019382114,2.036585366,0.055593496,3.007317073,3.302439024,5.190243902,0.006097561,-0.00995122,3.541463415,4.017073171,4.112195122,-0.031325203,0.586422764,0.35504065,-0.040195122,23.92682927,27.22764228
