site,date,Element,UF,F,W,spm,colloidal,trulydissolved
8,6/21/2021,As_STD,10.9959596,11.83434343,12.67676768,0.842424242,0.838383838,10.9959596
8,6/21/2021,As_KED,10.48484848,11.95555556,10.5959596,-1.35959596,1.470707071,10.48484848
8,6/21/2021,As_Oshift,11.07878788,12.04242424,12.84848485,0.806060606,0.963636364,11.07878788
8,6/21/2021,Se..77..77.77..ppb.,0.433699895,0.433699895,2.168499474,1.734799579,0,0.433699895
8,6/21/2021,Se77_Oshift,0.055646451,0.133333333,0.278232254,0.14489892,0.077686883,0.055646451
8,6/21/2021,Se78_Oshift,0.078787879,0.18989899,0.089658949,-0.100240041,0.111111111,0.078787879
8,6/21/2021,Se80_Oshift,0.129292929,0.141414141,0.054204449,-0.087209692,0.012121212,0.129292929
8,6/21/2021,Se..82..82.82..ppb.,0.571717172,0.622222222,0.481429161,-0.140793062,0.050505051,0.571717172
8,6/21/2021,Se82_Oshift,0.167676768,0.139393939,0.112595629,-0.02679831,-0.028282828,0.167676768
8,6/21/2021,Mo_NH3,11.22626263,12.07474747,11.62626263,-0.448484848,0.848484848,11.22626263
8,6/21/2021,Mo_Oshift,10.84242424,11.72121212,11.47474747,-0.246464646,0.878787879,10.84242424
8,6/21/2021,Cd111,0.032323232,0.038383838,0.053180963,0.014797124,0.006060606,0.032323232
8,6/21/2021,Cd114,0.028282828,0.04040404,0.039323993,-0.001080047,0.012121212,0.028282828
8,6/21/2021,Pb_STD,0.157575758,0.290909091,1.070707071,0.77979798,0.133333333,0.157575758
8,6/21/2021,Pb_NH3,0.161616162,0.305050505,1.262626263,0.957575758,0.143434343,0.161616162
9,6/21/2021,Na,13682.72121,13672.11313,12936.18182,-735.9313131,-10.60808081,13682.72121
9,6/21/2021,Mg,11002.19798,12533.95354,11516.74747,-1017.206061,1531.755556,11002.19798
9,6/21/2021,Al,2.854545455,10.86262626,188.4646465,177.6020202,8.008080808,2.854545455
9,6/21/2021,P,45.17373737,46.57575758,49.64032951,3.064571935,1.402020202,45.17373737
9,6/21/2021,S,16282.6,19403.7596,23997.35354,4593.593939,3121.159596,16282.6
9,6/21/2021,K,2706.646465,3001.256566,3626.515152,625.2585859,294.610101,2706.646465
9,6/21/2021,Ca,47860.89293,54882.01818,52640.61616,-2241.40202,7021.125253,47860.89293
9,6/21/2021,V,1.503030303,1.602020202,2.222222222,0.62020202,0.098989899,1.503030303
9,6/21/2021,Cr_KED,0.082828283,0.18989899,0.131217012,-0.058681978,0.107070707,0.082828283
9,6/21/2021,Cr_NH3,0.076767677,0.183838384,0.252525253,0.068686869,0.107070707,0.076767677
9,6/21/2021,Fe_NH3,1.218874063,23.42828283,156.6363636,133.2080808,22.20940877,1.218874063
9,6/21/2021,Mn,18.95555556,21.73535354,38.77777778,17.04242424,2.77979798,18.95555556
9,6/21/2021,Fe_KED,1.364188275,25.32525253,155.4343434,130.1090909,23.96106425,1.364188275
9,6/21/2021,Co,0.065677402,0.065677402,0.32838701,0.262709608,0,0.065677402
9,6/21/2021,Ni,0.37979798,0.567676768,0.424242424,-0.143434343,0.187878788,0.37979798
9,6/21/2021,Cu_KED,4.61010101,21.55757576,12.21212121,-9.345454545,16.94747475,4.61010101
9,6/21/2021,Cu_NH3,4.648484848,20.48282828,12.37373737,-8.109090909,15.83434343,4.648484848
9,6/21/2021,Zn,1.717171717,8.226262626,4.909090909,-3.317171717,6.509090909,1.717171717
9,6/21/2021,As_STD,8.092929293,8.822222222,9.282828283,0.460606061,0.729292929,8.092929293
9,6/21/2021,As_KED,7.642424242,7.901010101,7.474747475,-0.426262626,0.258585859,7.642424242
9,6/21/2021,As_Oshift,7.991919192,8.872727273,9.939393939,1.066666667,0.880808081,7.991919192
9,6/21/2021,Se..77..77.77..ppb.,0.433699895,0.433699895,2.168499474,1.734799579,0,0.433699895
9,6/21/2021,Se77_Oshift,0.055646451,0.055646451,0.278232254,0.222585803,0,0.055646451
9,6/21/2021,Se78_Oshift,0.127272727,0.109090909,0.089658949,-0.01943196,-0.018181818,0.127272727
9,6/21/2021,Se80_Oshift,0.096969697,0.145454545,0.054204449,-0.091250096,0.048484848,0.096969697
9,6/21/2021,Se..82..82.82..ppb.,0.496969697,0.521212121,0.481429161,-0.039782961,0.024242424,0.496969697
9,6/21/2021,Se82_Oshift,0.084848485,0.088888889,0.112595629,0.02370674,0.004040404,0.084848485
9,6/21/2021,Mo_NH3,6.276767677,6.751515152,6.707070707,-0.044444444,0.474747475,6.276767677
9,6/21/2021,Mo_Oshift,6.072727273,6.707070707,7.121212121,0.414141414,0.634343434,6.072727273
9,6/21/2021,Cd111,0.022222222,0.026262626,0.053180963,0.026918336,0.004040404,0.022222222
9,6/21/2021,Cd114,0.026262626,0.034343434,0.039323993,0.004980559,0.008080808,0.026262626
9,6/21/2021,Pb_STD,0.16969697,0.298989899,0.96969697,0.670707071,0.129292929,0.16969697
9,6/21/2021,Pb_NH3,0.167676768,0.303030303,1.03030303,0.727272727,0.135353535,0.167676768
10,6/21/2021,Na,14866.82626,12904.51919,15212.48485,2307.965657,-1962.307071,14866.82626
10,6/21/2021,Mg,14117.81212,14435.39394,15734.23232,1298.838384,317.5818182,14117.81212
10,6/21/2021,Al,1.828282828,10.59393939,193.010101,182.4161616,8.765656566,1.828282828
10,6/21/2021,P,49.57575758,54.63636364,49.64032951,-4.996034126,5.060606061,49.57575758
10,6/21/2021,S,22822.15758,23872.66263,37362.90909,13490.24646,1050.505051,22822.15758
10,6/21/2021,K,3265.579798,3354.323232,4523.383838,1169.060606,88.74343434,3265.579798
10,6/21/2021,Ca,59987.40606,62509.88687,71500.29293,8990.406061,2522.480808,59987.40606
10,6/21/2021,V,1.915151515,1.773737374,2.767676768,0.993939394,-0.141414141,1.915151515
10,6/21/2021,Cr_KED,0.133333333,0.139393939,0.303030303,0.163636364,0.006060606,0.133333333
10,6/21/2021,Cr_NH3,0.098989899,0.119191919,0.292929293,0.173737374,0.02020202,0.098989899
10,6/21/2021,Fe_NH3,1.218874063,14.46262626,127.5959596,113.1333333,13.2437522,1.218874063
10,6/21/2021,Mn,16.25656566,19.8989899,29.68686869,9.787878788,3.642424242,16.25656566
10,6/21/2021,Fe_KED,1.364188275,15.04242424,141.5555556,126.5131313,13.67823597,1.364188275
10,6/21/2021,Co,0.065677402,0.065677402,0.32838701,0.262709608,0,0.065677402
10,6/21/2021,Ni,0.480808081,0.587878788,0.474747475,-0.113131313,0.107070707,0.480808081
10,6/21/2021,Cu_KED,4.696969697,7.787878788,18.49494949,10.70707071,3.090909091,4.696969697
10,6/21/2021,Cu_NH3,4.727272727,7.795959596,16.85858586,9.062626263,3.068686869,4.727272727
10,6/21/2021,Zn,1.034343434,2.868686869,7.707070707,4.838383838,1.834343434,1.034343434
10,6/21/2021,As_STD,9.109090909,9.531313131,10.36363636,0.832323232,0.422222222,9.109090909
10,6/21/2021,As_KED,7.75959596,8.034343434,9.828282828,1.793939394,0.274747475,7.75959596
10,6/21/2021,As_Oshift,9.171717172,10.85656566,10.23232323,-0.624242424,1.684848485,9.171717172
10,6/21/2021,Se..77..77.77..ppb.,0.433699895,0.433699895,2.168499474,1.734799579,0,0.433699895
10,6/21/2021,Se77_Oshift,0.055646451,0.151515152,0.278232254,0.126717102,0.095868701,0.055646451
10,6/21/2021,Se78_Oshift,0.197979798,0.214141414,0.089658949,-0.124482465,0.016161616,0.197979798
10,6/21/2021,Se80_Oshift,0.137373737,0.18989899,0.171717172,-0.018181818,0.052525253,0.137373737
10,6/21/2021,Se..82..82.82..ppb.,0.547474747,0.733333333,0.481429161,-0.251904173,0.185858586,0.547474747
10,6/21/2021,Se82_Oshift,0.125252525,0.171717172,0.112595629,-0.059121543,0.046464646,0.125252525
10,6/21/2021,Mo_NH3,5.551515152,5.725252525,5.626262626,-0.098989899,0.173737374,5.551515152
10,6/21/2021,Mo_Oshift,5.341414141,6.337373737,5.636363636,-0.701010101,0.995959596,5.341414141
10,6/21/2021,Cd111,0.026262626,0.032323232,0.053180963,0.02085773,0.006060606,0.026262626
10,6/21/2021,Cd114,0.028282828,0.032323232,0.039323993,0.007000761,0.004040404,0.028282828
10,6/21/2021,Pb_STD,0.151515152,0.260606061,0.858585859,0.597979798,0.109090909,0.151515152
10,6/21/2021,Pb_NH3,0.15959596,0.280808081,0.838383838,0.557575758,0.121212121,0.15959596
11,6/21/2021,Na,14386.38182,12819.63232,13365.16162,545.5292929,-1566.749495,14386.38182
11,6/21/2021,Mg,14490.09697,15171.14545,15060.20202,-110.9434343,681.0484848,14490.09697
11,6/21/2021,Al,8.044444444,15.3979798,164.3030303,148.9050505,7.353535354,8.044444444
11,6/21/2021,P,49.37575758,54.48686869,49.64032951,-4.846539176,5.111111111,49.37575758
11,6/21/2021,S,21155.73131,23883.03434,28043.24242,4160.208081,2727.30303,21155.73131
11,6/21/2021,K,3173.789899,3298.486869,3960.545455,662.0585859,124.6969697,3173.789899
11,6/21/2021,Ca,58558.30505,62146.99798,62887.47475,740.4767677,3588.692929,58558.30505
11,6/21/2021,V,1.747474747,1.826262626,2.676767677,0.850505051,0.078787879,1.747474747
11,6/21/2021,Cr_KED,0.098989899,0.094949495,0.131217012,0.036267517,-0.004040404,0.098989899
11,6/21/2021,Cr_NH3,0.092929293,0.111111111,0.11823354,0.007122429,0.018181818,0.092929293
11,6/21/2021,Fe_NH3,1.218874063,14.26464646,120.6666667,106.4020202,13.0457724,1.218874063
11,6/21/2021,Mn,13.58383838,15.90505051,30.63636364,14.73131313,2.321212121,13.58383838
11,6/21/2021,Fe_KED,1.364188275,14.91515152,121.969697,107.0545455,13.55096324,1.364188275
11,6/21/2021,Co,0.065677402,0.065677402,0.32838701,0.262709608,0,0.065677402
11,6/21/2021,Ni,0.282828283,0.363636364,0.525252525,0.161616162,0.080808081,0.282828283
11,6/21/2021,Cu_KED,4.513131313,8.42020202,10.72727273,2.307070707,3.907070707,4.513131313
11,6/21/2021,Cu_NH3,4.674747475,8.507070707,10.68686869,2.17979798,3.832323232,4.674747475
11,6/21/2021,Zn,1.177777778,4.076767677,5.919191919,1.842424242,2.898989899,1.177777778
11,6/21/2021,As_STD,9.014141414,10.28080808,10.37373737,0.092929293,1.266666667,9.014141414
11,6/21/2021,As_KED,8.397979798,9.113131313,10.14141414,1.028282828,0.715151515,8.397979798
11,6/21/2021,As_Oshift,9.129292929,10.4969697,10.56565657,0.068686869,1.367676768,9.129292929
11,6/21/2021,Se..77..77.77..ppb.,0.433699895,0.433699895,2.168499474,1.734799579,0,0.433699895
11,6/21/2021,Se77_Oshift,0.055646451,0.157575758,0.278232254,0.120656496,0.101929307,0.055646451
11,6/21/2021,Se78_Oshift,0.113131313,0.163636364,0.089658949,-0.073977415,0.050505051,0.113131313
11,6/21/2021,Se80_Oshift,0.125252525,0.171717172,0.054204449,-0.117512722,0.046464646,0.125252525
11,6/21/2021,Se..82..82.82..ppb.,0.650505051,0.614141414,0.481429161,-0.132712254,-0.036363636,0.650505051
