,site,date,UF_Fe_NH3,UF_Cu_NH3,UF_Zn,UF_As_Oshift,UF_Se78_Oshift,UF_Mo_Oshift,UF_Cd114,UF_Pb_NH3,F_Fe_NH3,F_Cu_NH3,F_Zn,F_As_Oshift,F_Se78_Oshift,F_Mo_Oshift,F_Cd114,F_Pb_NH3,W_Fe_NH3,W_Cu_NH3,W_Zn,W_As_Oshift,W_Se78_Oshift,W_Mo_Oshift,W_Cd114,W_Pb_NH3
24,11,8/17/2021,1.218874063,1.017578002,1.75959596,9.739393939,0.187878788,4.183838384,0.007864799,0.078026292,8.290909091,4.593939394,3.216161616,10.85454545,0.224242424,4.703030303,0.007864799,0.246464646,53.35353535,5.087890009,2.272727273,10.86868687,0.089658949,4.616161616,0.039323993,0.390131458
21,8,8/17/2021,1.218874063,3.765656566,2.57979798,12.08686869,0.143434343,16.05252525,0.02020202,0.078026292,14.19191919,7.870707071,4.563636364,13.21818182,0.244444444,17.74141414,0.024242424,0.315151515,113.2626263,11.21212121,5.848484848,13.57575758,0.353535354,17.24242424,0.039323993,0.838383838
20,6,8/17/2021,1.218874063,3.391919192,4.331313131,12.18585859,0.163636364,20.25252525,0.028282828,0.226262626,16.04848485,7.056565657,10.93333333,13.22424242,0.22020202,22.43838384,0.036363636,,113.010101,12.1010101,5.929292929,13.81818182,0.323232323,21.70707071,0.039323993,1.050505051
31,1,9/9/2021,1.218874063,1.017578002,2.41010101,8.004040404,0.082828283,31.31111111,0.007864799,0.078026292,9.248484848,1.017578002,3.195959596,8.113131313,0.109090909,32.4969697,0.007864799,0.232323232,73.50505051,5.087890009,0.808080808,8.434343434,0.089658949,31.49494949,0.039323993,0.390131458
34,9,9/9/2021,1.218874063,2.987878788,1.490909091,7.828282828,0.145454545,7.767676768,0.007864799,0.078026292,11.03838384,4.575757576,10.42020202,7.470707071,0.149494949,7.577777778,0.007864799,0.236363636,45.94949495,5.087890009,0.797979798,8,0.089658949,7.676767677,0.039323993,0.390131458
35,10,9/9/2021,1.218874063,2.466666667,1.733333333,8.503030303,0.151515152,4.997979798,0.007864799,0.078026292,7.636363636,3.816161616,3.636363636,8.644444444,0.187878788,4.985858586,0.016161616,0.24040404,103.5050505,5.087890009,3.909090909,9.323232323,0.303030303,4.929292929,0.039323993,0.390131458
36,11,9/9/2021,1.218874063,2.917171717,2.335353535,8.414141414,0.191919192,4.705050505,0.007864799,0.078026292,8.773737374,4.563636364,7.678787879,8.438383838,0.167676768,4.624242424,0.016161616,0.224242424,183.3434343,5.087890009,8.111111111,8.707070707,0.242424242,4.474747475,0.039323993,0.919191919
33,8,9/9/2021,1.218874063,3.165656566,1.929292929,8.903030303,0.147474747,9.933333333,0.016161616,0.078026292,10.54747475,5.418181818,4.094949495,9.084848485,0.149494949,10.27676768,0.022222222,0.38989899,96.94949495,5.087890009,3.343434343,9.181818182,0.252525253,9.939393939,0.039323993,0.390131458
32,6,9/9/2021,1.218874063,3.535353535,3.387878788,8.01010101,0.171717172,11.39393939,0.028282828,0.078026292,8.771717172,5.012121212,5.402020202,8.341414141,0.163636364,12.28686869,0.032323232,0.290909091,78.54545455,5.087890009,4.95959596,8.888888889,0.252525253,11.68686869,0.039323993,0.390131458
40,9,9/22/2021,1.218874063,2.816161616,12.14343434,6.37979798,0.202020202,10.32727273,0.018181818,0.078026292,11.89494949,4.480808081,14.05858586,6.404040404,0.2,10.38585859,0.018181818,1.098989899,53.94949495,5.087890009,1.878787879,6.676767677,0.089658949,10.14141414,0.039323993,0.390131458
41,10,9/22/2021,3.402020202,2.173737374,10.21010101,7.402020202,0.18989899,6.361616162,0.007864799,0.078026292,11.00808081,3.408080808,15.50505051,7.464646465,0.125252525,6.377777778,0.007864799,,151.0808081,5.087890009,6.777777778,7.656565657,0.303030303,6.181818182,0.039323993,1.02020202
