Sample.Id,Element,Concentration
6_21_21_UF_8,S,22371.86667
6_21_21_UF_8,K,3244.979798
6_21_21_UF_8,Ca,56078.1596
6_21_21_UF_8,V,1.997979798
6_21_21_UF_8,Cr_KED,0.105050505
6_21_21_UF_8,Cr_NH3,0.092929293
6_21_21_UF_8,Fe_NH3,1.218874063
6_21_21_UF_8,Mn,31.74141414
6_21_21_UF_8,Fe_KED,1.364188275
6_21_21_UF_8,Co,0.065677402
6_21_21_UF_8,Ni,0.456565657
6_21_21_UF_8,Cu_KED,8.234343434
6_21_21_UF_8,Cu_NH3,8.278787879
6_21_21_UF_8,Zn,2.753535354
6_21_21_UF_8,As_STD,10.9959596
6_21_21_UF_8,As_KED,10.48484848
6_21_21_UF_8,As_Oshift,11.07878788
6_21_21_UF_8,Se..77..77.77..ppb.,0.433699895
6_21_21_UF_8,Se77_Oshift,0.055646451
6_21_21_UF_8,Se78_Oshift,0.078787879
6_21_21_UF_8,Se80_Oshift,0.129292929
6_21_21_UF_8,Se..82..82.82..ppb.,0.571717172
6_21_21_UF_8,Se82_Oshift,0.167676768
6_21_21_UF_8,Mo_NH3,11.22626263
6_21_21_UF_8,Mo_Oshift,10.84242424
6_21_21_UF_8,Cd111,0.032323232
6_21_21_UF_8,Cd114,0.028282828
6_21_21_UF_8,Pb_STD,0.157575758
6_21_21_UF_8,Pb_NH3,0.161616162
6_21_21_UF_9,Na,13682.72121
6_21_21_UF_9,Mg,11002.19798
6_21_21_UF_9,Al,2.854545455
6_21_21_UF_9,P,45.17373737
6_21_21_UF_9,S,16282.6
6_21_21_UF_9,K,2706.646465
6_21_21_UF_9,Ca,47860.89293
6_21_21_UF_9,V,1.503030303
6_21_21_UF_9,Cr_KED,0.082828283
6_21_21_UF_9,Cr_NH3,0.076767677
6_21_21_UF_9,Fe_NH3,1.218874063
6_21_21_UF_9,Mn,18.95555556
6_21_21_UF_9,Fe_KED,1.364188275
6_21_21_UF_9,Co,0.065677402
6_21_21_UF_9,Ni,0.37979798
6_21_21_UF_9,Cu_KED,4.61010101
6_21_21_UF_9,Cu_NH3,4.648484848
6_21_21_UF_9,Zn,1.717171717
6_21_21_UF_9,As_STD,8.092929293
6_21_21_UF_9,As_KED,7.642424242
6_21_21_UF_9,As_Oshift,7.991919192
6_21_21_UF_9,Se..77..77.77..ppb.,0.433699895
6_21_21_UF_9,Se77_Oshift,0.055646451
6_21_21_UF_9,Se78_Oshift,0.127272727
6_21_21_UF_9,Se80_Oshift,0.096969697
6_21_21_UF_9,Se..82..82.82..ppb.,0.496969697
6_21_21_UF_9,Se82_Oshift,0.084848485
6_21_21_UF_9,Mo_NH3,6.276767677
6_21_21_UF_9,Mo_Oshift,6.072727273
6_21_21_UF_9,Cd111,0.022222222
6_21_21_UF_9,Cd114,0.026262626
6_21_21_UF_9,Pb_STD,0.16969697
6_21_21_UF_9,Pb_NH3,0.167676768
6_21_21_UF_10,Na,14866.82626
6_21_21_UF_10,Mg,14117.81212
6_21_21_UF_10,Al,1.828282828
6_21_21_UF_10,P,49.57575758
6_21_21_UF_10,S,22822.15758
6_21_21_UF_10,K,3265.579798
6_21_21_UF_10,Ca,59987.40606
6_21_21_UF_10,V,1.915151515
6_21_21_UF_10,Cr_KED,0.133333333
6_21_21_UF_10,Cr_NH3,0.098989899
6_21_21_UF_10,Fe_NH3,1.218874063
6_21_21_UF_10,Mn,16.25656566
6_21_21_UF_10,Fe_KED,1.364188275
6_21_21_UF_10,Co,0.065677402
6_21_21_UF_10,Ni,0.480808081
6_21_21_UF_10,Cu_KED,4.696969697
6_21_21_UF_10,Cu_NH3,4.727272727
6_21_21_UF_10,Zn,1.034343434
6_21_21_UF_10,As_STD,9.109090909
