"","Sample.Id","Na","Mg","Al","P","S","K","Ca","V","Cr_KED","Cr_NH3","Fe_NH3","Mn","Fe_KED","Co","Ni","Cu_KED","Cu_NH3","Zn","As_STD","As_KED","As_Oshift","Se..77..77.77..ppb.","Se77_Oshift","Se78_Oshift","Se80_Oshift","Se..82..82.82..ppb.","Se82_Oshift","Mo_NH3","Mo_Oshift","Cd111","Cd114","Pb_STD","Pb_NH3"
"1193","5_18_23_MFB",56.675,0.236,-0.591,2.709,406.815,61.567,47.099,0.001,0.003,0.008,-0.439,0.002,-0.075,-0.007,0.001,0.066,0.065,0.062,0.051,-0.008,-0.002,0.064,0.012,0.009,-0.008,-0.04,-0.021,0.019,0.003,0.001,-0.002,0.008,0.014
"1481","LFB",9123.337,9345.985,9.373,11.674,10722.598,9204.839,9932.15,9.615,10.052,10.234,9.729,9.973,9.107,9.643,9.319,9.648,9.805,9.816,9.511,9.79,9.816,10.254,10.717,10.095,10.094,10.367,10.31,9.582,9.878,9.521,9.56,9.917,10.443
"1491","LFB",8972.123,9656.042,9.657,11.996,10536.256,9338.006,9596.564,9.78,10.045,10.204,9.831,9.96,9.193,9.712,9.121,9.631,9.886,9.812,9.331,9.445,9.794,10.198,9.798,10.191,10.111,10.071,10.015,9.51,9.94,9.509,9.602,9.669,10.036
"1821","LFB",8970.307,9183.333,9.299,11.541,10881.827,9176.043,9770.585,9.677,10.166,10.225,9.854,9.851,8.859,9.536,9.166,9.594,9.923,10.013,9.471,9.834,9.83,9.914,9.769,9.901,9.887,10.129,10.034,9.634,9.982,9.613,9.682,10.148,10.368
"1831","LFB",8867.568,9124.608,9.07,11.635,10358.631,9136.001,9792.101,9.651,9.983,9.995,9.532,9.823,8.843,9.559,9.21,9.555,9.656,9.46,9.027,9.728,9.669,9.559,10.129,9.879,10.122,9.828,9.972,9.379,9.762,9.38,9.431,9.853,11.217
"2021","10_15_21_FB",309.563,5.913,8.785,0.649,660.536,73.17,50.843,0,0.081,0.073,1.471,0.059,1.571,-0.006,0.01,0.105,0.117,7.531,-0.052,-0.007,0.009,0.133,0.006,0.005,-0.007,-0.022,-0.021,0.001,0.012,0.001,-0.001,0.05,0.054
"2031","10_15_21_FB",300.792,6.641,8.9,0.585,577.208,80.972,51.931,0.003,0.079,0.077,1.478,0.051,1.477,-0.006,0.014,0.098,0.119,7.555,-0.036,-0.007,0.008,0.17,0.014,0.005,-0.008,0.013,-0.021,0,0.01,0.001,-0.001,0.047,0.053
"2161","LFB",8604.331,8848.021,9.486,10.885,10437.653,9135.78,9755.584,9.597,9.82,9.709,9.297,9.626,8.505,9.207,8.924,9.29,9.448,9.334,9.072,9.289,9.589,9.852,9.358,9.438,9.901,9.588,10.196,9.389,9.895,9.429,9.514,10.59,10.836
"2171","LFB",8488.455,8863.876,9.071,11.365,10232.532,8918.442,9541.548,9.341,9.508,10.083,9.539,9.799,8.522,9.14,8.94,9.311,9.667,9.519,9.166,9.973,9.709,10.045,9.472,9.582,9.805,10.023,10.423,9.615,10.029,9.588,9.728,10.588,10.709
"2261","5_18_23_MFB",4502.953,4575.084,4.35,9.68,5801.114,4707.622,4994.994,4.941,5.215,5.117,4.863,5.141,4.775,4.855,4.621,5.001,5.026,4.633,4.537,4.844,4.936,5.161,5.291,5.069,4.971,4.881,4.902,4.738,5.132,4.656,4.734,5.656,5.658
"2271","5_18_23_MFB",4463.464,4710.486,4.735,9.663,5434.759,4631.435,5054.168,4.881,5.009,5.137,4.884,5.027,4.598,4.796,4.506,4.913,4.999,4.656,4.48,4.759,4.794,5.075,5.26,4.741,4.884,5.067,4.774,4.749,4.96,4.748,4.775,5.555,5.638
"2281","5_18_23_MFB",4428.924,4430.236,4.676,9.935,5721.935,4590.417,4902.02,4.806,5.028,4.968,4.522,4.892,4.277,4.713,4.554,4.871,4.914,4.507,4.476,4.362,4.655,5.26,5.151,4.877,4.715,4.893,4.817,4.588,4.828,4.655,4.68,5.578,6.192
"2291","5_18_23_MFB",4388.056,4647.989,4.468,10.016,5605.771,4604.674,4913.252,4.838,5.108,5.132,4.608,4.935,4.368,4.753,4.686,4.927,5.02,4.594,4.142,4.742,4.774,4.637,4.825,4.778,4.697,4.452,4.679,4.756,4.929,4.678,4.704,5.078,5.525
"661","MFB",5542.343,5575.999,5.388,12.784,5856.803,5107.76,5101.913,5.25,5.207,4.966,4.911,6.041,5.128,5.216,5.373,6.219,6.043,4.565,4.681,4.641,5.8,4.421,6.018,5.607,5.709,5.061,5.576,4.996,6.004,4.861,4.827,4.59,4.662
"1222","MFB",6380.666,6709.99,7.857,15.48,5906.165,5137.176,6383.291,6.75,7.125,6.983,6.897,6.675,6.779,6.842,7.195,6.646,6.733,5.943,5.474,6.014,5.712,5.265,5.358,5.397,5.428,5.734,5.188,6.422,6.279,6.234,6.227,5.257,5.597
"11911","MFB",4872.497,4917.027,4.804,8.074,4644.125,4893.043,4948.707,4.933,4.745,4.953,5.056,4.767,4.728,4.887,4.839,4.886,5.104,4.774,4.639,4.335,4.645,4.359,4.823,4.632,4.757,4.694,4.574,5.144,4.877,5.211,5.167,4.925,5.115
"7711","5_10_23_MFB",5365.941,5422.204,5.152,10.701,5647.27,5228.426,5402.115,5.509,5.547,5.32,5.385,5.626,5.697,5.551,5.485,5.483,5.218,5.13,4.877,4.609,5.223,4.965,5.061,5.231,5.251,5.146,5.221,5.318,5.474,5.103,5.115,4.854,5.247
"12521","5_10_23_MFB",4939.388,4907.142,4.836,9.511,5401.632,4689.451,5154.907,5.098,5.108,5.458,5.588,5.667,5.029,5.223,5.169,5.064,5.372,5.275,4.891,4.4,5.214,5.147,4.642,5.138,5.206,5.099,5.23,5.527,5.456,5.25,5.315,4.997,5.395
"4721","5_18_23_MFB",4836.235,5082.038,4.639,8.58,5184.044,4837.128,4882.119,4.93,5.264,5.2,4.613,5.065,4.685,5.037,5,5.12,5.161,4.859,4.389,5.008,4.881,4.404,5.128,4.897,4.945,4.584,5.171,4.817,4.873,4.833,4.848,4.658,5.036
"5821","5_18_23_MFB",4976.516,5147.487,4.991,8.543,5454.665,4914.506,5048.872,5.06,5.276,5.629,5.309,5.146,4.97,5.269,5.126,5.25,5.575,5.242,4.739,5.171,4.959,4.933,4.776,4.913,4.819,5.069,5.013,5.237,4.937,5.168,5.192,4.949,4.855
