,DAY,MONTH,YEAR,DATE,FRACTION,SITE,Element,Concentration
186,6,21,2021,6/21/2021,UF,11,As_Oshift,9.129292929
187,6,21,2021,6/21/2021,UF,11,Se..77..77.77..ppb.,0.426625595
188,6,21,2021,6/21/2021,UF,11,Se77_Oshift,0.05784852
189,6,21,2021,6/21/2021,UF,11,Se78_Oshift,0.113131313
190,6,21,2021,6/21/2021,UF,11,Se80_Oshift,0.125252525
191,6,21,2021,6/21/2021,UF,11,Se..82..82.82..ppb.,0.650505051
192,6,21,2021,6/21/2021,UF,11,Se82_Oshift,0.173737374
193,6,21,2021,6/21/2021,UF,11,Mo_NH3,5.042424242
194,6,21,2021,6/21/2021,UF,11,Mo_Oshift,4.874747475
195,6,21,2021,6/21/2021,UF,11,Cd111,0.024242424
196,6,21,2021,6/21/2021,UF,11,Cd114,0.026262626
197,6,21,2021,6/21/2021,UF,11,Pb_STD,0.149494949
198,6,21,2021,6/21/2021,UF,11,Pb_NH3,0.163636364
199,6,21,2021,6/21/2021,F,1,Na,10777.1899
200,6,21,2021,6/21/2021,F,1,Mg,8709.385859
201,6,21,2021,6/21/2021,F,1,Al,12.65050505
202,6,21,2021,6/21/2021,F,1,P,69.5959596
203,6,21,2021,6/21/2021,F,1,S,25272.66465
204,6,21,2021,6/21/2021,F,1,K,2767.682828
205,6,21,2021,6/21/2021,F,1,Ca,48149.22222
206,6,21,2021,6/21/2021,F,1,V,0.703030303
207,6,21,2021,6/21/2021,F,1,Cr_KED,0.111111111
208,6,21,2021,6/21/2021,F,1,Cr_NH3,0.098989899
209,6,21,2021,6/21/2021,F,1,Fe_NH3,23.81616162
210,6,21,2021,6/21/2021,F,1,Mn,72.02828283
211,6,21,2021,6/21/2021,F,1,Fe_KED,24.67474747
212,6,21,2021,6/21/2021,F,1,Co,0.068271155
213,6,21,2021,6/21/2021,F,1,Ni,0.563636364
214,6,21,2021,6/21/2021,F,1,Cu_KED,4.58989899
215,6,21,2021,6/21/2021,F,1,Cu_NH3,4.575757576
216,6,21,2021,6/21/2021,F,1,Zn,2.575757576
217,6,21,2021,6/21/2021,F,1,As_STD,11.94545455
218,6,21,2021,6/21/2021,F,1,As_KED,9.987878788
219,6,21,2021,6/21/2021,F,1,As_Oshift,12.00606061
220,6,21,2021,6/21/2021,F,1,Se..77..77.77..ppb.,0.426625595
221,6,21,2021,6/21/2021,F,1,Se77_Oshift,0.05784852
222,6,21,2021,6/21/2021,F,1,Se78_Oshift,0.111111111
223,6,21,2021,6/21/2021,F,1,Se80_Oshift,0.127272727
224,6,21,2021,6/21/2021,F,1,Se..82..82.82..ppb.,0.484848485
225,6,21,2021,6/21/2021,F,1,Se82_Oshift,0.062626263
226,6,21,2021,6/21/2021,F,1,Mo_NH3,17.61616162
227,6,21,2021,6/21/2021,F,1,Mo_Oshift,18.64444444
228,6,21,2021,6/21/2021,F,1,Cd111,0.011049424
229,6,21,2021,6/21/2021,F,1,Cd114,0.02020202
230,6,21,2021,6/21/2021,F,1,Pb_STD,0.22020202
231,6,21,2021,6/21/2021,F,1,Pb_NH3,0.226262626
232,6,21,2021,6/21/2021,F,6,Na,13784.20606
233,6,21,2021,6/21/2021,F,6,Mg,10670.28283
234,6,21,2021,6/21/2021,F,6,Al,13.52929293
235,6,21,2021,6/21/2021,F,6,P,32.16767677
236,6,21,2021,6/21/2021,F,6,S,23945.68081
237,6,21,2021,6/21/2021,F,6,K,2958.313131
238,6,21,2021,6/21/2021,F,6,Ca,52941.53333
239,6,21,2021,6/21/2021,F,6,V,1.347474747
240,6,21,2021,6/21/2021,F,6,Cr_KED,0.109090909
241,6,21,2021,6/21/2021,F,6,Cr_NH3,0.115151515
242,6,21,2021,6/21/2021,F,6,Fe_NH3,19.02222222
243,6,21,2021,6/21/2021,F,6,Mn,28.41010101
244,6,21,2021,6/21/2021,F,6,Fe_KED,20.08282828
245,6,21,2021,6/21/2021,F,6,Co,0.068271155
246,6,21,2021,6/21/2021,F,6,Ni,0.519191919
247,6,21,2021,6/21/2021,F,6,Cu_KED,8.632323232
248,6,21,2021,6/21/2021,F,6,Cu_NH3,8.103030303
249,6,21,2021,6/21/2021,F,6,Zn,3.402020202
250,6,21,2021,6/21/2021,F,6,As_STD,13.52121212
251,6,21,2021,6/21/2021,F,6,As_KED,10.63232323
252,6,21,2021,6/21/2021,F,6,As_Oshift,11.52323232
253,6,21,2021,6/21/2021,F,6,Se..77..77.77..ppb.,1.183838384
254,6,21,2021,6/21/2021,F,6,Se77_Oshift,0.234343434
255,6,21,2021,6/21/2021,F,6,Se78_Oshift,0.105050505
256,6,21,2021,6/21/2021,F,6,Se80_Oshift,0.119191919
257,6,21,2021,6/21/2021,F,6,Se..82..82.82..ppb.,0.581818182
258,6,21,2021,6/21/2021,F,6,Se82_Oshift,0.137373737
259,6,21,2021,6/21/2021,F,6,Mo_NH3,12.91717172
260,6,21,2021,6/21/2021,F,6,Mo_Oshift,12.76363636
261,6,21,2021,6/21/2021,F,6,Cd111,0.03030303
262,6,21,2021,6/21/2021,F,6,Cd114,0.032323232
263,6,21,2021,6/21/2021,F,6,Pb_STD,0.319191919
264,6,21,2021,6/21/2021,F,6,Pb_NH3,0.280808081
265,6,21,2021,6/21/2021,F,8,Na,16886.66465
266,6,21,2021,6/21/2021,F,8,Mg,13010.79798
267,6,21,2021,6/21/2021,F,8,Al,7.393939394
268,6,21,2021,6/21/2021,F,8,P,42.86464646
269,6,21,2021,6/21/2021,F,8,S,25004.20606
270,6,21,2021,6/21/2021,F,8,K,3405.723232
271,6,21,2021,6/21/2021,F,8,Ca,58857.95556
272,6,21,2021,6/21/2021,F,8,V,1.842424242
273,6,21,2021,6/21/2021,F,8,Cr_KED,0.117171717
274,6,21,2021,6/21/2021,F,8,Cr_NH3,0.103030303
275,6,21,2021,6/21/2021,F,8,Fe_NH3,54.74343434
276,6,21,2021,6/21/2021,F,8,Mn,34.23636364
277,6,21,2021,6/21/2021,F,8,Fe_KED,55.44040404
278,6,21,2021,6/21/2021,F,8,Co,0.068271155
279,6,21,2021,6/21/2021,F,8,Ni,0.565656566
280,6,21,2021,6/21/2021,F,8,Cu_KED,9.181818182
281,6,21,2021,6/21/2021,F,8,Cu_NH3,9.319191919
282,6,21,2021,6/21/2021,F,8,Zn,3.573737374
283,6,21,2021,6/21/2021,F,8,As_STD,11.83434343
284,6,21,2021,6/21/2021,F,8,As_KED,11.95555556
285,6,21,2021,6/21/2021,F,8,As_Oshift,12.04242424
286,6,21,2021,6/21/2021,F,8,Se..77..77.77..ppb.,0.426625595
287,6,21,2021,6/21/2021,F,8,Se77_Oshift,0.133333333
288,6,21,2021,6/21/2021,F,8,Se78_Oshift,0.18989899
289,6,21,2021,6/21/2021,F,8,Se80_Oshift,0.141414141
290,6,21,2021,6/21/2021,F,8,Se..82..82.82..ppb.,0.622222222
291,6,21,2021,6/21/2021,F,8,Se82_Oshift,0.139393939
292,6,21,2021,6/21/2021,F,8,Mo_NH3,12.07474747
293,6,21,2021,6/21/2021,F,8,Mo_Oshift,11.72121212
294,6,21,2021,6/21/2021,F,8,Cd111,0.038383838
295,6,21,2021,6/21/2021,F,8,Cd114,0.04040404
296,6,21,2021,6/21/2021,F,8,Pb_STD,0.290909091
297,6,21,2021,6/21/2021,F,8,Pb_NH3,0.305050505
298,6,21,2021,6/21/2021,F,9,Na,13672.11313
299,6,21,2021,6/21/2021,F,9,Mg,12533.95354
300,6,21,2021,6/21/2021,F,9,Al,10.86262626
301,6,21,2021,6/21/2021,F,9,P,46.57575758
302,6,21,2021,6/21/2021,F,9,S,19403.7596
303,6,21,2021,6/21/2021,F,9,K,3001.256566
304,6,21,2021,6/21/2021,F,9,Ca,54882.01818
305,6,21,2021,6/21/2021,F,9,V,1.602020202
306,6,21,2021,6/21/2021,F,9,Cr_KED,0.18989899
307,6,21,2021,6/21/2021,F,9,Cr_NH3,0.183838384
308,6,21,2021,6/21/2021,F,9,Fe_NH3,23.42828283
309,6,21,2021,6/21/2021,F,9,Mn,21.73535354
310,6,21,2021,6/21/2021,F,9,Fe_KED,25.32525253
311,6,21,2021,6/21/2021,F,9,Co,0.068271155
312,6,21,2021,6/21/2021,F,9,Ni,0.567676768
313,6,21,2021,6/21/2021,F,9,Cu_KED,21.55757576
314,6,21,2021,6/21/2021,F,9,Cu_NH3,20.48282828
315,6,21,2021,6/21/2021,F,9,Zn,8.226262626
316,6,21,2021,6/21/2021,F,9,As_STD,8.822222222
317,6,21,2021,6/21/2021,F,9,As_KED,7.901010101
318,6,21,2021,6/21/2021,F,9,As_Oshift,8.872727273
319,6,21,2021,6/21/2021,F,9,Se..77..77.77..ppb.,0.426625595
320,6,21,2021,6/21/2021,F,9,Se77_Oshift,0.05784852
321,6,21,2021,6/21/2021,F,9,Se78_Oshift,0.109090909
322,6,21,2021,6/21/2021,F,9,Se80_Oshift,0.145454545
323,6,21,2021,6/21/2021,F,9,Se..82..82.82..ppb.,0.521212121
324,6,21,2021,6/21/2021,F,9,Se82_Oshift,0.088888889
325,6,21,2021,6/21/2021,F,9,Mo_NH3,6.751515152
326,6,21,2021,6/21/2021,F,9,Mo_Oshift,6.707070707
327,6,21,2021,6/21/2021,F,9,Cd111,0.026262626
328,6,21,2021,6/21/2021,F,9,Cd114,0.034343434
329,6,21,2021,6/21/2021,F,9,Pb_STD,0.298989899
330,6,21,2021,6/21/2021,F,9,Pb_NH3,0.303030303
331,6,21,2021,6/21/2021,F,10,Na,12904.51919
332,6,21,2021,6/21/2021,F,10,Mg,14435.39394
333,6,21,2021,6/21/2021,F,10,Al,10.59393939
334,6,21,2021,6/21/2021,F,10,P,54.63636364
335,6,21,2021,6/21/2021,F,10,S,23872.66263
336,6,21,2021,6/21/2021,F,10,K,3354.323232
337,6,21,2021,6/21/2021,F,10,Ca,62509.88687
338,6,21,2021,6/21/2021,F,10,V,1.773737374
339,6,21,2021,6/21/2021,F,10,Cr_KED,0.139393939
340,6,21,2021,6/21/2021,F,10,Cr_NH3,0.119191919
341,6,21,2021,6/21/2021,F,10,Fe_NH3,14.46262626
342,6,21,2021,6/21/2021,F,10,Mn,19.8989899
343,6,21,2021,6/21/2021,F,10,Fe_KED,15.04242424
344,6,21,2021,6/21/2021,F,10,Co,0.068271155
345,6,21,2021,6/21/2021,F,10,Ni,0.587878788
346,6,21,2021,6/21/2021,F,10,Cu_KED,7.787878788
347,6,21,2021,6/21/2021,F,10,Cu_NH3,7.795959596
348,6,21,2021,6/21/2021,F,10,Zn,2.868686869
349,6,21,2021,6/21/2021,F,10,As_STD,9.531313131
350,6,21,2021,6/21/2021,F,10,As_KED,8.034343434
351,6,21,2021,6/21/2021,F,10,As_Oshift,10.85656566
352,6,21,2021,6/21/2021,F,10,Se..77..77.77..ppb.,0.426625595
353,6,21,2021,6/21/2021,F,10,Se77_Oshift,0.151515152
354,6,21,2021,6/21/2021,F,10,Se78_Oshift,0.214141414
355,6,21,2021,6/21/2021,F,10,Se80_Oshift,0.18989899
356,6,21,2021,6/21/2021,F,10,Se..82..82.82..ppb.,0.733333333
357,6,21,2021,6/21/2021,F,10,Se82_Oshift,0.171717172
358,6,21,2021,6/21/2021,F,10,Mo_NH3,5.725252525
