"","Sample.Id","Element","conc","Concentration"
"124","6_21_21_UF_9","Se80_Oshift",0.048,0.096969696969697
"125","6_21_21_UF_9","Se..82..82.82..ppb.",0.246,0.496969696969697
"126","6_21_21_UF_9","Se82_Oshift",0.042,0.0848484848484849
"127","6_21_21_UF_9","Mo_NH3",3.107,6.27676767676768
"128","6_21_21_UF_9","Mo_Oshift",3.006,6.07272727272727
"129","6_21_21_UF_9","Cd111",0.011,0.0222222222222222
"130","6_21_21_UF_9","Cd114",0.013,0.0262626262626263
"131","6_21_21_UF_9","Pb_STD",0.084,0.16969696969697
"132","6_21_21_UF_9","Pb_NH3",0.083,0.167676767676768
"133","6_21_21_UF_10","Na",7359.079,14866.8262626263
"134","6_21_21_UF_10","Mg",6988.317,14117.8121212121
"135","6_21_21_UF_10","Al",0.478956365738812,0.967588617654167
"136","6_21_21_UF_10","P",24.54,49.5757575757576
"137","6_21_21_UF_10","S",11296.968,22822.1575757576
"138","6_21_21_UF_10","K",1616.462,3265.5797979798
"139","6_21_21_UF_10","Ca",29693.766,59987.4060606061
"140","6_21_21_UF_10","V",0.948,1.91515151515152
"141","6_21_21_UF_10","Cr_KED",0.066,0.133333333333333
"142","6_21_21_UF_10","Cr_NH3",0.049,0.098989898989899
"143","6_21_21_UF_10","Fe_NH3",0.325465307161978,0.657505671034299
"144","6_21_21_UF_10","Mn",8.047,16.2565656565657
"145","6_21_21_UF_10","Fe_KED",0.352047383460437,0.71120683527361
"146","6_21_21_UF_10","Co",0.014,0.0282828282828283
"147","6_21_21_UF_10","Ni",0.238,0.480808080808081
"148","6_21_21_UF_10","Cu_KED",2.325,4.6969696969697
"149","6_21_21_UF_10","Cu_NH3",2.34,4.72727272727273
"150","6_21_21_UF_10","Zn",0.512,1.03434343434343
"151","6_21_21_UF_10","As_STD",4.509,9.10909090909091
"152","6_21_21_UF_10","As_KED",3.841,7.75959595959596
"153","6_21_21_UF_10","As_Oshift",4.54,9.17171717171717
"154","6_21_21_UF_10","Se..77..77.77..ppb.",0.342,0.690909090909091
"155","6_21_21_UF_10","Se77_Oshift",0.0226125188303962,0.0456818562230227
"156","6_21_21_UF_10","Se78_Oshift",0.098,0.197979797979798
"157","6_21_21_UF_10","Se80_Oshift",0.068,0.137373737373737
"158","6_21_21_UF_10","Se..82..82.82..ppb.",0.271,0.547474747474748
"159","6_21_21_UF_10","Se82_Oshift",0.062,0.125252525252525
"160","6_21_21_UF_10","Mo_NH3",2.748,5.55151515151515
"161","6_21_21_UF_10","Mo_Oshift",2.644,5.34141414141414
"162","6_21_21_UF_10","Cd111",0.013,0.0262626262626263
"163","6_21_21_UF_10","Cd114",0.014,0.0282828282828283
"164","6_21_21_UF_10","Pb_STD",0.075,0.151515151515152
"165","6_21_21_UF_10","Pb_NH3",0.079,0.15959595959596
"166","6_21_21_UF_11","Na",7121.259,14386.3818181818
"167","6_21_21_UF_11","Mg",7172.598,14490.096969697
"168","6_21_21_UF_11","Al",3.982,8.04444444444445
"169","6_21_21_UF_11","P",24.441,49.3757575757576
"170","6_21_21_UF_11","S",10472.087,21155.7313131313
"171","6_21_21_UF_11","K",1571.026,3173.7898989899
"172","6_21_21_UF_11","Ca",28986.361,58558.3050505051
"173","6_21_21_UF_11","V",0.865,1.74747474747475
"174","6_21_21_UF_11","Cr_KED",0.049,0.098989898989899
"175","6_21_21_UF_11","Cr_NH3",0.046,0.0929292929292929
"176","6_21_21_UF_11","Fe_NH3",0.325465307161978,0.657505671034299
"177","6_21_21_UF_11","Mn",6.724,13.5838383838384
"178","6_21_21_UF_11","Fe_KED",0.352047383460437,0.71120683527361
"179","6_21_21_UF_11","Co",0.015,0.0303030303030303
"180","6_21_21_UF_11","Ni",0.14,0.282828282828283
"181","6_21_21_UF_11","Cu_KED",2.234,4.51313131313131
"182","6_21_21_UF_11","Cu_NH3",2.314,4.67474747474748
"183","6_21_21_UF_11","Zn",0.583,1.17777777777778
"184","6_21_21_UF_11","As_STD",4.462,9.01414141414141
"185","6_21_21_UF_11","As_KED",4.157,8.3979797979798
"186","6_21_21_UF_11","As_Oshift",4.519,9.12929292929293
"187","6_21_21_UF_11","Se..77..77.77..ppb.",0.308,0.622222222222222
"188","6_21_21_UF_11","Se77_Oshift",0.0226125188303962,0.0456818562230227
"189","6_21_21_UF_11","Se78_Oshift",0.056,0.113131313131313
"190","6_21_21_UF_11","Se80_Oshift",0.062,0.125252525252525
"191","6_21_21_UF_11","Se..82..82.82..ppb.",0.322,0.650505050505051
"192","6_21_21_UF_11","Se82_Oshift",0.086,0.173737373737374
"193","6_21_21_UF_11","Mo_NH3",2.496,5.04242424242424
"194","6_21_21_UF_11","Mo_Oshift",2.413,4.87474747474747
"195","6_21_21_UF_11","Cd111",0.012,0.0242424242424242
"196","6_21_21_UF_11","Cd114",0.013,0.0262626262626263
"197","6_21_21_UF_11","Pb_STD",0.074,0.149494949494949
"198","6_21_21_UF_11","Pb_NH3",0.081,0.163636363636364
"199","6_21_21_F_1","Na",5334.709,10777.1898989899
"200","6_21_21_F_1","Mg",4311.146,8709.38585858586
"201","6_21_21_F_1","Al",6.262,12.650505050505
"202","6_21_21_F_1","P",34.45,69.5959595959596
"203","6_21_21_F_1","S",12509.969,25272.6646464646
"204","6_21_21_F_1","K",1370.003,2767.68282828283
